Key,Value
OOOXX-OXX,0
OO-XX-OXX,0.0005595238095238097
OO--X-OXX,4.067796610169493e-05
-O--X-OXX,0.16759080459770115
-O--X-O-X,0.37747091503267977
----X-O-X,0.32291872451456316
------O-X,0.2161001835806917
XX-XOOX-O,1
XX--OOX-O,0.560377358490566
XX--O-X-O,0.3842342307692308
X---O-X-O,0.386859765625
X---O-X--,0.32945388902743145
OXXXOXOOX,0.1
OXXXOXOO-,0.010000000000000002
OXXXOXO--,0.00040789473684210535
OXXXO-O--,5.106382978723406e-05
OXXXO----,4.0449438202247205e-06
XOOX--X--,1
XOOX-----,0.4106845037593985
XOXOOXOXX,0.1
XOXOO-OXX,0.010000000000000002
XOXOO--XX,0.000580246913580247
XOXOO--X-,7.733333333333336e-05
XOXO---X-,9.146341463414637e-06
XO-O---X-,0.14040077037037038
X--O---X-,0.15663653941441444
---O---X-,0.23232215555397734
XXOOOXXOX,0.1
XXOOOX-OX,0.010000000000000002
XXOO-X-OX,0.0010000000000000002
X-OO-X-OX,0.2857825396825397
X-O--X-OX,0.2451351315789474
--O--X-OX,0.12355990677966103
-----X-OX,0.3256958480295567
-------OX,0.23361720706314248
OOXOXXOX-,0
OOXOXX-X-,0.00046575342465753435
OOXOXX---,0.5143047619047619
O-XOXX---,0.34105407894736844
O--OXX---,0.1404002666666667
O---XX---,0.3225730787564767
XOXXOXOXO,0.1
XOXXO-OXO,0.010000000000000002
XOXX--OXO,0.0010000000000000002
-OXX--OXO,0.00010000000000000003
-OXX---XO,8.421052631578952e-06
-O-X---XO,0.14330822222222225
---X---XO,0.11273834816901411
-------XO,0.15677286031899115
OX-OOXOXX,0
-X-OOXOXX,0
---OOXOXX,0.24108928571428573
---O-XOXX,0.14175225
---O--OXX,0.19372051048951053
------OXX,0.11648776135770238
OOXXXOXXO,0.1
OOXXXO-XO,0.010000000000000002
OOXXXO-X-,0.0010000000000000002
OOXXXO---,0.30006666666666665
OOXXX----,0.46843795180722897
OO-XX----,0.3607618538461539
O--XX----,0.3239395912935324
OXXXOOXOX,0.1
OXX-OOXOX,0.010000000000000002
OXX--OXOX,0.0010000000000000002
OXX--O-OX,0.00010000000000000003
OXX----OX,0.2278188541666667
OX-----OX,0.09306465248226951
-X-----OX,0.13503275520581118
XOXOX-O-X,1
XOXO--O-X,0.5510591836734694
X-XO--O-X,0.5684228070175439
X-XO--O--,0.4664035403225807
X-X---O--,0.3087798741935484
XOOOXXXOX,0.1
XOOO-XXOX,0.010000000000000002
XO-O-XXOX,0.00047435897435897445
XO-O-XXO-,7.346938775510206e-05
XO-O-XX--,7.857142857142861e-06
---O-X---,0.15793592843591606
XOXXXOOXO,0.1
XO-XXOOXO,0.010000000000000002
XO-XXOOX-,0.0010000000000000002
XO-X-OOX-,0.00010000000000000003
XO-X--OX-,8.07228915662651e-06
XO-X--O--,0.14799300751879702
X--X--O--,0.09038116352040818
---X--O--,0.15063157349621475
XO--XO--X,1
XO---O--X,0.4928668888888889
XO------X,0.36524201246819343
XO-------,0.2326037224397371
XXXOOXOXO,0.1
-XXOOXOXO,0.010000000000000002
-XX-OXOXO,0.0005476190476190478
-XX-O-OXO,0.18004142857142857
-XX---OXO,0.32226075268817206
-X----OXO,0.4153721829268293
-X----OX-,0.261744624940048
-X----O--,0.2111237043272728
X-OOOXXOX,0.010000000000000002
X-OO-XXOX,0.0010000000000000002
X-OO--XOX,0.26386379310344826
